time,open,high,low,close,volume,normalize,rescale,n_rsi,n_cci,n_wt,n_adx,my_trSmooth,regime_filter,filter_adx,filter_volatility,rational_quadratic,currentWeight,gaussian
2023-07-21T04:30:00Z,29867.69,29886.82,29866.15,29883.99,131.72434,0.8820123899653548,331.93322222222224,0.5613031616132212,0.48014142900454926,0.35618007622442754,0.2680045883126168,427.36560368425216,0,1,0,29870.727772661467,409431.77600984275,29863.329419787216
2023-07-21T04:45:00Z,29884,29893.31,29864,29864,389.25597,0.8806939857950029,331.7111111111111,0.5518718684703656,0.4234686853697467,0.32293117315147957,0.26264467422328047,413.93904331582826,0,1,0,29870.777695337343,409432.4602894493,29864.631798412156
2023-07-21T05:00:00Z,29864,29865.82,29842.89,29856.03,218.24762,0.880168338909675,331.62255555555555,0.5412539494336275,0.3735230435332716,0.2999061203308705,0.24207769597948084,395.47513898424575,0,0,0,29870.262845359026,409425.4033492031,29865.568970321263
2023-07-21T05:15:00Z,29856.02,29856.03,29811.27,29822.28,260.30301,0.8779424189122076,331.24755555555555,0.5229233390804241,0.3071262657889042,0.22392904612331319,0.23092997525543546,400.68762508581955,1,0,1,29867.08776326518,409381.8831674869,29864.428351200484
2023-07-21T05:30:00Z,29822.28,29833.61,29803.42,29819.98,144.51571,0.8777907265864543,331.222,0.5063122741058076,0.26451704950160876,0.24462818843166897,0.2249543529684616,390.8088625772399,1,0,0,29863.869484509076,409337.7708982167,29863.2159157967
2023-07-21T05:45:00Z,29819.98,29819.99,29790,29817.99,141.609,0.8776594797480852,331.1998888888889,0.49124026884444805,0.24097037302304664,0.29834089667848257,0.22632526407682962,381.7179763195175,1,0,0,29860.66113049289,409293.7946652667,29861.899001991154
2023-07-21T06:00:00Z,29817.99,29836.67,29793.89,29830.23,125.95982,0.8784667467338333,331.33588888888886,0.4834304467720405,0.24228193573654067,0.3914054140301975,0.2150378727792728,386.3261786875646,0,0,1,29858.34106486981,409261.9940142834,29860.98626160853
2023-07-21T06:15:00Z,29830.23,29852,29827.38,29851.39,87.53744,0.8798623161307639,331.57099999999997,0.48506461340592044,0.27451622240799806,0.5058317146113364,0.19446078119705626,372.3135608188071,0,0,0,29857.780786277894,409254.3143935961,29861.190361058947
2023-07-21T06:30:00Z,29851.39,29851.4,29814,29819.99,186.8821,0.8777913861183055,331.22211111111113,0.47634406774857413,0.26712496520930834,0.4643131721475308,0.1841834999224475,372.4822047369278,0,0,1,29855.158228767763,409218.3675500095,29859.699680105692
2023-07-21T06:45:00Z,29820,29856.48,29819.99,29856.48,99.05731,0.8801980178429746,331.62755555555555,0.48145707122924897,0.3152097869223746,0.5534313008840134,0.17123255840335141,371.723984263233,0,0,0,29855.435059623596,409222.162012261,29860.183296303945
